label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv,n_css_selectors,html_id_class_num,get_html_id_class_rate,n_js_function,js_comparison_average,js_comparison_max,js_comparison_min
1,8,3,0.375,2,3,3,0.571429,2,0.25,0.142857,0,1,2.75,0,0,0,0,0,0,0,0,0,0,0,44.6866,0,0,0,0,0,0,0
1,18,8,0.444444,4,10,7,0.647059,0,0,0,0,1,3.35021,0,0,0,0,0,0,0,0,0,0,0,105.666,0,0,0,0,0,0,0
1,14,4,0.285714,4,9,4,0.615385,0,0,0,1,2,3.03915,0,0,0,0,0,0,0,0,0,0,0,123.877,0,0,0,0,0,0,0
1,14,4,0.285714,1,7,6,0.583333,2,0.142857,0.166667,0,1,3.09307,0,0,0,0,0,0,0,0,36,2191,1036,22.3348,0,0,0,0,0,0,0
1,4,1,0.25,1,3,3,0.666667,0,0,0,0,1,2,3,0,0,2,1,1,10800,0,8,365,150,2.47393,0,0,0,0,0,0,0
1,14,8,0.571429,4,6,5,0.769231,0,0,0,0,1,2.98523,1,1,1,2,1,1,14400,0,830,1826,1476,84.6131,0,101,65.5844,0,0,0,0
1,9,4,0.444444,2,4,2,0.875,0,0,0,1,1,2.11328,0,0,0,0,0,0,0,0,0,0,0,31.7396,0,0,0,0,0,0,0
1,14,4,0.285714,1,9,6,0.666667,0,0,0,0,1,2.75343,1,0,1,0,0,1,3599.67,0.471405,52,2557,1565,69.4767,0,19,76,39,7.71616,7.71616,7.71616
1,8,3,0.375,2,5,4,0.857143,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,57.9001,0,0,0,0,0,0,0
1,21,9,0.428571,4,12,10,0.7,0,0,0,0,1,3.59447,1,3,1,3,0.909091,1,3600,0,0,365,365,180.635,0,0,0,0,0,0,0
1,14,4,0.285714,3,9,8,0.583333,0,0,0,0,1,3.52164,0,0,0,0,0,0,0,0,194,2922,1870,57.9714,0,0,0,0,0,0,0
1,14,5,0.357143,2,9,8,0.769231,0,0,0,0,1,3.09307,1,0,1,0,0,1,0,0,0,0,0,89.3206,0,0,0,0,0,0,0
1,10,3,0.3,3,7,6,0.666667,0,0,0,0,1,3.12193,1,0,0,2,1,1,300,0,427,1096,731,80.6953,0,75,50.3356,0,0,0,0
