label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv
1,6,1,0.166667,1,5,5,0.4,0,0,0,0,1,2.58496,0,0,0,0,0,0,0,0,0,0,0,22.9702
1,13,2,0.153846,1,4,4,0.181818,5,0.384615,0.0909091,1,2,2.93121,3,0,3,0,0,2,599.667,424.029,146,5478,4936,13.8192
1,33,7,0.212121,4,11,9,0.310345,11,0.333333,0.0344828,1,2,3.73275,4,0,4,0,0,2,79.6667,56.3343,1,0,0,99.0549
1,16,3,0.1875,2,8,8,0.357143,4,0.25,0.214286,0,1,3.57782,1,0,0,0,0,1,7199.67,0.471405,7,6575,2922,40.2252
1,16,2,0.125,1,9,9,0.285714,4,0.25,0.214286,0,1,3.57782,1,0,0,0,0,1,7199.67,0.471405,7,6575,2922,40.2252
1,17,5,0.294118,3,6,6,0.333333,5,0.294118,0.0666667,0,2,3.73452,3,0,1,0,0,1,199.667,141.186,492,8036,7639,13.8947
1,22,4,0.181818,3,9,6,0.315789,7,0.318182,0.368421,0,2,3.57262,0,0,0,0,0,0,0,0,0,3653,3257,54.9173
1,3,0,0,0,1,1,0,2,0.666667,0.5,0,1,0.918296,1,0,0,2,1,1,599.667,0.471405,20,365,0,-1.58496
1,8,2,0.25,2,4,2,0.571429,2,0.25,0.142857,0,2,2.15564,0,0,0,0,0,0,0,0,0,0,0,21.9111
1,4,0,0,0,0,0,0,4,1,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1,0.166667,1,2,2,0.4,3,0.5,0.2,0,1,2.58496,0,0,0,0,0,0,0,0,0,0,0,6.70352
1,8,2,0.25,2,3,3,0.571429,2,0.25,0.142857,1,1,3,0,0,0,0,0,0,0,0,0,365,3,30.54
1,17,5,0.294118,2,7,4,0.625,5,0.294118,0.0625,0,1,3.10188,0,0,0,0,0,0,0,0,0,0,0,147.766
1,17,5,0.294118,3,9,7,0.5625,2,0.117647,0.0625,1,2,3.57247,2,0,1,2,1,2,9.66667,6.84755,17,365,15,87.8382
1,14,4,0.285714,3,8,5,0.615385,2,0.142857,0.0769231,0,2,3.18201,2,0,1,2,1,2,9.66667,6.84755,17,365,15,100.835
1,37,7,0.189189,4,11,9,0.272727,15,0.405405,0.030303,1,2,4.35784,4,0,4,0,0,2,79.6667,56.3343,0,0,0,73.8514
1,7,0,0,0,0,0,0,7,1,0,0,0,2.52164,1,0,0,2,1,1,599.667,0.471405,281,731,346,-0.432959
1,7,0,0,0,3,2,0,4,0.571429,0.166667,0,2,2.23593,3,0,0,2,1,1,299.667,0.471405,0,731,366,-2.16993
1,18,5,0.277778,3,8,6,0.4375,4,0.222222,0.3125,0,1,3.72548,0,0,0,0,0,0,0,0,133,6209,5844,30.7384
1,18,4,0.222222,3,8,6,0.375,5,0.277778,0.3125,0,1,3.83659,0,0,0,0,0,0,0,0,133,6209,5844,30.7384
1,18,4,0.222222,2,10,7,0.5,3,0.166667,0.1875,0,2,3.61437,0,0,0,0,0,0,0,0,133,6209,5844,36.5483
1,19,0,0,0,0,0,0,15,0.789474,0,3,1,3.47135,0,0,0,0,0,0,0,0,0,0,0,1.73697
1,11,3,0.272727,2,5,4,0.6,3,0.272727,0.1,0,1,3.0958,0,0,0,0,0,0,0,0,0,0,0,47.0283
1,7,0,0,0,2,2,0,4,0.571429,0.4,0,1,2.52164,2,0,2,2,1,2,19.6667,13.9124,0,0,0,-0.584963
1,12,0,0,0,0,0,0,10,0.833333,0,2,1,2.68872,0,0,0,0,0,0,0,0,0,366,439,-1.16993
1,27,6,0.222222,3,16,11,0.44,4,0.148148,0.12,0,2,4.13434,3,0,4,0,0,2,199.667,141.186,0,1827,1670,178.186
1,10,0,0,0,0,0,0,10,1,0,0,0,2.64644,1,2,1,2,1,1,3599.67,0.471405,1375,365,0,-7.09474
1,32,3,0.09375,3,7,6,0.2,21,0.65625,0.0333333,0,2,4.1875,3,0,0,2,1,1,51,12.0277,119,2191,328,45.4725
1,57,8,0.140351,4,22,13,0.236364,22,0.385965,0.236364,4,1,4.60527,3,0,4,0,0,2,199.667,141.186,0,0,0,157.564
