clf,imp_type,pattern,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,i21,i22,i23,i24,i25
lgbm,imp,all,0.07208535545506632,0.012600932353330478,0.03778546977975565,0.009409063415892751,0.01764644766805684,0.013044754484952499,0.04760727710661226,0.015918480282361328,0.004419294629248112,0.011949410715409788,0.006513436769951244,0.009201088571457046,0.06631113102378756,0.03234313456341827,0.04359611955148159,0.036138627609476254,0.9019614159086471,0.06186582122207509,0.17312511651655169,0.16957821460331032,0.09490392100285452,0.13276199572553055,0.14671749908713205,0.07233550980025605,0.22738988010485328
lgbm,imp,top,0.10340031647344566,0.010640131276128107,0.028879469973600188,0.007444491881294219,0.015387567796141253,0.011726188857733926,0.03543677474383139,0.004222919560035184,0.0041233670108845755,0.007362114472247082,0.004363076766274475,0.0054448599160068605,0.06120615322007401,0.03792095047546658,0.06121415514326472,0.05046645657034017,0.8912511836661636,0.0953454398720718,0.08640835203346535,0.21819701781577885,0.09397170935709338,0.14127896071908516,0.26883683208934905,0.056852311399109706,0.11076147302840288
lgbm,imp,b,0.07581790325146695,0.01716428559069769,0.0485218879903779,0.011544028062495965,0.02316359127191361,0.017867559966465232,0.06210780267578746,0.0141509961249288,0.005448254929784283,0.012949225308169145,0.0063696133687476415,0.009700231806212694,0.08109340696007429,0.04334771237951694,0.053876346601398006,0.03965466897254861,0.8603970908255498,0.0849566186062774,0.2024097274656003,0.2018654056834513,0.09734079513761029,0.17694577937880948,0.1894436857303549,0.08574024836879608,0.24504724486839086
lgbm,pimp,all,0.18224536764232355,0.024903585657214504,0.09104913847505916,0.03620693961975772,0.050542624775455396,0.05197958769161446,0.10793062407277097,0.006155179735358647,0.015897109426799692,0.011721996701896586,0.013011868925850434,0.017537736378319953,0.13298130042219086,0.10558848766611804,0.1990137065537237,0.09602759267277577,0.6535352601366242,0.152069146402982,0.08645538301080237,0.26007897315617123,0.14721515356020817,0.27686994140483384,0.1990137065537237,0.1948272791601893,0.3998151307511729
lgbm,pimp,top,0.05378588372700405,0.0029349108380448655,0.015070038629392829,0.0018941623139156058,0.008554952868343227,0.004433588712791192,0.03875747503857645,0.0014778629042638794,0.0009366736717166909,0.002789206044666845,0.002997355749492653,0.002227201841636987,0.04523093085866093,0.08927540839981425,0.1523655839325343,0.05218313099984482,0.8416325164929082,0.1497220826812458,0.08090779026581449,0.20463197481430948,0.20629717245291626,0.19197647276089674,0.21562227922911514,0.06964689123473498,0.22215817996064718
lgbm,pimp,b,0.0775575726522565,0.015113604391731516,0.04308947949559434,0.013298575688798265,0.0227402153838637,0.022059579620263867,0.08026266350758955,0.007731324186532306,0.00401400578533288,0.005113494326532647,0.007591706593998993,0.008097820366932322,0.07832546941118962,0.1332300876749157,0.10064683201745338,0.06075110495105877,0.77763508601243,0.15289871602304642,0.0729152877005238,0.2031435971359732,0.10652822310291934,0.23234112617450256,0.20087481125730672,0.11047242009198548,0.39215091302794797
dt,imp,all,0.06757036276330602,0.0027642363469164827,0.0033602525982579,0.0005969766167331799,0.00024849368169399793,0.0006312250345469106,0.0024733513007528943,0.016396940985045957,0.003550599678050192,0.0016989503891032091,0.0010409518493687269,0.0006242026126024706,0.007887698250123159,0.011728681790088942,0.008568855198149766,0.022265162586266662,0.9584784709712459,0.011746233474013584,0.15820233558783225,0.11099706308712552,0.07256254538693739,0.03808137972610272,0.07467232609997405,0.011043160641645936,0.16053943653498587
dt,imp,top,0.10240921827089516,0.0019386345766392633,0.0017855825334920582,0.0009447038979609635,0.0007773644938449473,0.002335446191161106,0.003128868429646889,0.0009476545995871487,0.0009786719407695076,0.005868316936531699,0.0006010667065759344,0.0,0.020480102383355372,0.010597487588838602,0.014702390755638119,0.01888918668896872,0.928707030346959,0.05041868868141823,0.08419379874534406,0.1997037150872261,0.051410322109665896,0.07020256982746437,0.25978789590398493,0.010193141781888845,0.03425306206365268
dt,imp,b,0.044132434141694876,0.001244267334022876,0.003402915999576735,0.0005845026624069137,0.0042338407151176274,0.0004990827330896472,0.005439148290958663,0.007482841200812311,0.0018387357722280228,0.009731816525568392,0.0012567745273551199,0.0010745221122490244,0.004260762810355901,0.030791657752419505,0.012100581588086835,0.010255372940753115,0.9292739815329392,0.04810494507677943,0.2346853409424426,0.15200790727790947,0.10936538058761275,0.08587305028009296,0.13206699920754786,0.01597211718549311,0.12464672821164408
dt,pimp,all,0.2819733572395933,0.014077029388112696,0.010013804850809438,0.0009256458265456122,0.0006852183391310771,0.0016829924119007515,0.005289404723116458,0.01437756374738045,0.005517810836160317,0.002067676391763577,0.0018392702787203812,0.0013223511807792803,0.03503028491627619,0.03600401624030451,0.1880744020299045,0.05684907939913191,0.7261751616120443,0.14128721297906474,0.14860822997083276,0.20393059482488318,0.1144314626348776,0.1872449271983248,0.33578102892293316,0.286529458126096,0.1575401111282773
dt,pimp,top,0.23671268323861114,0.005674681606969074,0.003503340413305628,0.0017334236420001566,0.0009853144912422293,0.01576503185987518,0.0037952854477477558,0.003941257964968819,0.0022625740169265863,0.009323994537495668,0.003995997658926547,0.0,0.038372525464487946,0.05503163899234192,0.2402890099105274,0.053955091677836554,0.7957691776306414,0.15334412934072986,0.09656082014173524,0.2666188027042772,0.08732805842750271,0.14489596990656065,0.30413373963009094,0.11816475269045298,0.07827776235979667
dt,pimp,b,0.2809081064584497,0.001603219937649644,0.004659826173916224,0.0004644842810014502,0.004719759629529291,0.0003146506419688228,0.010638188371319603,0.008240850146797,0.0030266395084600868,0.008765267883411358,0.001003885381519054,0.001003885381519054,0.0089900183419603,0.06348451285814238,0.07592070489785399,0.033832435693576954,0.8583519679264562,0.11947734376465113,0.14797570190866488,0.1977804035231244,0.13188356907655618,0.12156003134720515,0.1922065921511091,0.06505776606798537,0.15605173505252584
