clf,pattern,imp_type,metric,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k34,k24,k25
lgbm,all,imp,accuracy,0.8897643720176409,0.9003428347278366,0.9152712514940271,0.9186226260457605,0.926139091466877,0.9323505319226133,0.9327211221879986,0.9347030037407114,0.9380383440385431,0.9386586951985689,0.9388198276374823,0.9397704549607907,0.9405358231739573,0.9407533526479975,0.9416234393895208,0.942066523902267,0.9420423712688393,0.9417926207590781,0.9418973600571936,0.9417523514417679,0.9417120626528087,0.9420665414267511,0.9419779266011776,0.9425660573745379,0.9426546728491662
lgbm,all,imp,precision,0.8310096924880362,0.8955166328676123,0.8947793117703879,0.8615449751500384,0.8643633786077418,0.8743007955580548,0.8753175868792894,0.881283524100407,0.8903221929909012,0.8947777910738463,0.8926112076205698,0.89468918234077,0.8961966369452746,0.897354901138141,0.8971150402052146,0.8979327113652538,0.8972007899484987,0.8967101878901402,0.8968421948235761,0.8962714004984473,0.8961979605308132,0.8979520677439957,0.897949974218313,0.8997585270677595,0.898280195656527
lgbm,all,imp,recall,0.5591820047435154,0.5512659969938951,0.6388482026942233,0.6934793500380401,0.7374567795090028,0.7633628205154638,0.7642744112013492,0.7691242124781535,0.7780352794667359,0.7767919450956298,0.779942221479974,0.783258077618538,0.7860353743095546,0.7859938462130568,0.7912994084694638,0.7929156538072174,0.7937037082854823,0.7928748988858718,0.7933724113236827,0.7931237238314575,0.7929577145354868,0.7929991739053043,0.7925018504658639,0.7938283613016559,0.7960252611785663
lgbm,all,imp,f1,0.6665431855517876,0.6816512346423622,0.744925335215431,0.7678707313848475,0.7951989231741858,0.8145203347312954,0.8155093930900396,0.8208566378934231,0.8299695446187828,0.8311464023774686,0.8320952826202529,0.8348734787856099,0.8370876157212388,0.8375709372390714,0.8404398428255844,0.8417448575387987,0.8418422182404527,0.8411775352411249,0.8414991242596374,0.8411117989309973,0.8409625909368328,0.8417480699498308,0.8415116060571141,0.8430558541238213,0.843624056436823
lgbm,all,pimp,accuracy,0.8897643720176409,0.9003428347278366,0.904427404487083,0.9220223740151207,0.925712127532343,0.9310373463891345,0.9332528903261448,0.9366446016969048,0.937232733768375,0.9389889746071264,0.9390212177107161,0.9398671407848772,0.9412528439316956,0.9412206112129853,0.9413736830382649,0.942066523902267,0.9417120483735996,0.9419215217773909,0.9419698458668402,0.941985977478987,0.9423807366041739,0.9416556695120113,0.9422437847080521,0.9420987540247573,0.9426546728491662
lgbm,all,pimp,precision,0.8310096924880362,0.8955166328676123,0.8540474595963052,0.8557262941267434,0.8616721195701412,0.8659286680754275,0.874304536600472,0.8839066871657005,0.8851139202031062,0.8912997320737148,0.8914678767081778,0.8951164310735326,0.8962478327603745,0.8944751793212451,0.895587462900135,0.8979327113652538,0.8970840071786222,0.897342215376489,0.8978319825274269,0.8972916773122135,0.8983996372047655,0.8966617998221279,0.8975851408558482,0.8981319511077958,0.898280195656527
lgbm,all,pimp,recall,0.5591820047435154,0.5512659969938951,0.6138971360905103,0.7212500317860896,0.7373320749478193,0.7656425875869993,0.7685025968376105,0.7776214245803721,0.7797769681774852,0.7827190370842294,0.7825119120518418,0.7831751588789029,0.7901805209344903,0.7920040803030022,0.7917140708943196,0.7929156538072174,0.7920042349380327,0.7928333364260339,0.7925844427537682,0.7932063161193618,0.7944500628505489,0.7920458661245506,0.7945327238651336,0.7930820067365891,0.7960252611785663
lgbm,all,pimp,f1,0.6665431855517876,0.6816512346423622,0.7137388417631543,0.7822287798422988,0.7941609795674303,0.8120810314789535,0.8174750609150315,0.8268769064637581,0.8286053444193898,0.8330122149753405,0.8330017048284881,0.8350140621501062,0.839464503373072,0.8397017414309692,0.8400199162872901,0.8417448575387987,0.8408299403353754,0.8414034258470322,0.8415130146405178,0.8416402678460513,0.8428119354187948,0.8406960689192996,0.8424692499027234,0.8419258986506362,0.843624056436823
lgbm,top,imp,accuracy,0.7752834538306109,0.8340987998943546,0.8964381620282195,0.9076917645997824,0.9147797229600461,0.9202303240865005,0.9233390808423285,0.924561754228499,0.9254528815204346,0.9305511725133077,0.9300745143426475,0.9315045360944282,0.933349074207284,0.9354629521868807,0.936250499775611,0.9357738458994781,0.9362090275257724,0.9360846751941663,0.9357738587830597,0.9369965837035572,0.9358981595803388,0.9359811169635975,0.9368515403395683,0.9371417043690373,0.9365613806046265
lgbm,top,imp,precision,0.9844977787589027,0.8981843601291513,0.9148278939951583,0.9187870793865753,0.9268617617412884,0.9318438795708929,0.9343373618316161,0.9350402053270711,0.9362114718357015,0.9398123063729449,0.9392824022446964,0.9408788818580837,0.9422610854676929,0.9437144108852813,0.9437950140173852,0.943505782224892,0.9445525045090394,0.9443982976489268,0.9443898998924396,0.9455456024448006,0.943690501055551,0.9447815368881741,0.9446249685438172,0.9455418728041881,0.9446351710322143
