,importances_mean,importances_std
length,0.26831326602712635,0.0015973389063030548
n_ns,0.08159181385431505,0.0012542236492156032
n_constant_chars,0.07028524717816798,0.001261087817946232
n_vowel_chars,0.030351474229754382,0.0008903791519310278
num_ratio,0.02294522812243351,0.0006750017604071491
mean_TTL,0.021932321961842915,0.0007138771149862187
n_labels,0.021531789857020908,0.0008294061601002905
life_time,0.020628278543364582,0.0007850262338421549
n_nums,0.019583296616186557,0.0007123260936889784
vowel_ratio,0.01926770650020085,0.0008630529201943623
n_mx,0.018267773101415346,0.0008795208046825031
n_constants,0.017265217018929423,0.0008303314070121661
active_time,0.014641004643250721,0.0007642523425745471
entropy,0.014197536397144998,0.0008030958437753874
stdev_TTL,0.013943698785519229,0.00040604752897058374
n_ip,0.0132007356833799,0.0008442286618373925
rv,0.011492569132863945,0.0007562273815797484
ns_similarity,0.009704058591148479,0.0007087655753659333
n_vowels,0.008134188295560849,0.0006899145420799742
vowel_constant_convs,0.00786429423878909,0.0007498975976532899
alpha_numer_convs,0.0059866766996945625,0.0005195799213968145
n_other_chars,0.005566497941218813,0.0005569876599943333
max_consecutive_chars,0.0025967283657581807,0.000458022574260242
n_ptr,0.001009260347054617,0.0003130108947475425
n_countries,9.688485639978816e-05,6.893980217556532e-05
