,importances_mean,importances_std
length,0.2848206208161687,0.00139118522181766
n_ns,0.0794909110158853,0.0013576187532326714
n_constant_chars,0.07212661705693327,0.001303879063162531
n_vowel_chars,0.041408306349448795,0.0008986753653115123
life_time,0.024801569309453864,0.0008624170016393653
n_labels,0.023016703373344743,0.0007803103418912678
mean_TTL,0.022973697427148644,0.0007427532952431401
num_ratio,0.021659815622987112,0.0007749082509602155
vowel_ratio,0.020089412415680498,0.0007293663545493484
n_constants,0.018455340524944734,0.0009429133644623846
n_mx,0.01841959785973818,0.0008532562522043884
n_nums,0.016595339753990346,0.0005977452675914227
active_time,0.01630470832335455,0.000814364753226254
entropy,0.015533231947860812,0.0008164009715072119
stdev_TTL,0.01447215015717655,0.00044090676635522637
rv,0.01361418342835596,0.0007217296599958924
n_ip,0.013091418130521832,0.0008002648045241888
n_vowels,0.011597698807044532,0.0007119180000146848
ns_similarity,0.011508610707053816,0.0007927719378613772
vowel_constant_convs,0.007748726200267804,0.0005856211167658456
alpha_numer_convs,0.0062187773890918134,0.0004743953286900617
n_other_chars,0.005015225302306989,0.0004229546338834174
max_consecutive_chars,0.0024697923805013745,0.0005325715373771205
n_ptr,0.0012491434721838268,0.00026059166041665784
n_countries,7.875161780535266e-05,5.871049586993181e-05
