,importances_mean,importances_std
length,0.2699547784289743,0.0015838206861481046
n_ptr,0.07685635023978203,0.00121441444908589
n_constant_chars,0.07571603890721543,0.0012809879311868782
n_vowel_chars,0.03764633659370683,0.0010712820099993705
life_time,0.026349095188148774,0.0011396723348129384
mean_TTL,0.02247061828226788,0.0007550189537938927
alpha_numer_convs,0.022393443616621492,0.0006486131868192253
stdev_TTL,0.022230225142397246,0.0009470177737797832
vowel_ratio,0.02121789905646778,0.0008386725557844451
n_ip,0.01950602249766561,0.0008724869035989854
n_constants,0.015965327818155628,0.0008483420689491692
n_nums,0.015680889899167872,0.0005173828294839061
n_mx,0.014346772119318887,0.0008990984785742851
active_time,0.013585194995741285,0.0007204459945703252
n_labels,0.013543196878938513,0.00043521103744888125
entropy,0.013110061155693183,0.0008039776995570817
n_vowels,0.011775482134617812,0.0007148448110383077
rv,0.0108267967081496,0.0005256712718132737
n_countries,0.010175022993578442,0.0007585600966633514
vowel_constant_convs,0.009999885179576,0.0006824566634286184
num_ratio,0.007452899115246978,0.0005550015553604624
n_other_chars,0.005557162081113183,0.0005275347470059871
max_consecutive_chars,0.0024552893597290315,0.0006030612824512088
n_ns,0.0015620784782687223,0.00026585750738815703
ns_similarity,0.00012071789895112151,6.4678961471774e-05
