,importances_mean,importances_std
length,0.26023042440515665,0.0017917794017340328
n_ns,0.08015617419088035,0.0013162761029491372
n_constant_chars,0.06680881061149233,0.0013191803841954316
n_vowel_chars,0.039554007019867055,0.0008819980992223928
life_time,0.028820540217733847,0.0009584745022395214
mean_TTL,0.02380369208878407,0.0007143950079422774
n_labels,0.022194471766881094,0.000887038249894111
num_ratio,0.02209133696167573,0.0007225908672333285
n_constants,0.021222538190819845,0.0008494996006551382
n_mx,0.018900374986056963,0.0008356937317538183
vowel_ratio,0.018167798736769443,0.0007268255603227124
n_nums,0.01791650658187511,0.0006514333552790701
entropy,0.017733596022420795,0.0009273685849045494
stdev_TTL,0.015441519473068117,0.0004664784148757946
rv,0.014644655234819556,0.0008057681623459911
active_time,0.013574274251405293,0.0007553256107573156
n_ip,0.013188294772999983,0.0008568682328282862
n_vowels,0.011413798577405937,0.0007480652248138134
ns_similarity,0.01139721237457947,0.0008292114710598874
vowel_constant_convs,0.009166760315886643,0.0005643022870978137
alpha_numer_convs,0.005843671250494391,0.0005096417112695115
n_other_chars,0.005554054011014757,0.0005390039193611394
max_consecutive_chars,0.002345450424169393,0.0005373446168850609
n_ptr,0.000997345852416438,0.0002296867916659801
n_countries,0.00020413169572198298,7.786865342040281e-05
