,importances_mean,importances_std
length,0.19108125,0.003736121064241553
n_ns,0.08502499999999999,0.0032018828422872873
life_time,0.06744062499999999,0.0029885096119935516
n_constant_chars,0.03649687499999999,0.0022562194243619595
vowel_ratio,0.030949999999999988,0.002123644503786584
mean_TTL,0.026484374999999994,0.0016377499878327637
n_mx,0.026449999999999994,0.0019893705450446603
n_vowel_chars,0.024534374999999997,0.0020473827846610305
n_nums,0.023049999999999994,0.0012092248208649711
active_time,0.023040624999999988,0.0018179306479690293
entropy,0.022306249999999986,0.0013619631996601802
js_comparison_max,0.02179374999999999,0.001954847850804127
num_ratio,0.018506249999999995,0.0013374855103023497
js_comparison_average,0.018274999999999993,0.0016723943887449627
stdev_TTL,0.017812499999999995,0.0012133658810308504
ns_similarity,0.017481249999999986,0.0011941564944556791
n_labels,0.017246874999999988,0.0018408012081217247
n_vowels,0.01601249999999999,0.0014401584720329964
vowel_constant_convs,0.01539687499999999,0.0012677178013737577
n_constants,0.01469375,0.001372220772135037
n_ip,0.013687499999999995,0.0013989605784120273
n_js_function,0.011068749999999997,0.0013449288544391353
alpha_numer_convs,0.008499999999999994,0.0010953436305880014
js_comparison_min,0.0075531249999999895,0.0011991843489069247
get_html_id_class_rate,0.007143749999999986,0.001385032491139397
n_css_selectors,0.0058031249999999975,0.0009970486488017597
n_other_chars,0.004665624999999993,0.0010559088504286424
max_consecutive_chars,0.004337499999999994,0.0011402909855774894
rv,0.0032624999999999902,0.0012057684780733564
html_id_class_num,0.0029656249999999874,0.0009933788430267218
n_ptr,0.0007999999999999984,0.0005027625961547303
n_countries,0.0003124999999999911,0.00019143040855681086
