,importances_mean,importances_std
length,0.08228125,0.003014843941014894
n_ns,0.07259687500000002,0.002656616508789296
life_time,0.044703124999999996,0.0022259569416667115
n_mx,0.0210125,0.0018167439914234715
mean_TTL,0.018809375000000007,0.001123601340536366
vowel_ratio,0.014603125000000003,0.0015799975010858552
n_labels,0.013321875,0.001622335875502566
active_time,0.012659375,0.001343460944712075
stdev_TTL,0.011368750000000009,0.0011683407582892403
n_ip,0.010528124999999996,0.0015417892521484937
js_comparison_average,0.010387500000000006,0.0015855101658394763
ns_similarity,0.009965625000000006,0.0014064970147030975
js_comparison_max,0.009421875000000001,0.0014875559046428487
n_constant_chars,0.00930625,0.0018142227227576954
num_ratio,0.009025000000000005,0.0012867304317431244
n_js_function,0.00819375000000001,0.0011508286538139156
n_nums,0.007921875,0.000812341819619658
vowel_constant_convs,0.006015625,0.001374264200881973
n_vowel_chars,0.0046250000000000015,0.0013497088733025076
n_vowels,0.00396562500000001,0.0014395557500968014
alpha_numer_convs,0.0037375000000000047,0.0010365310524508386
get_html_id_class_rate,0.0037156250000000023,0.001036913596099023
n_css_selectors,0.003443750000000005,0.0009262944642298035
js_comparison_min,0.0030437500000000057,0.0007937375334418116
n_constants,0.0018562500000000037,0.001421214091711821
html_id_class_num,0.0016875000000000043,0.0008107551802025053
entropy,0.0016000000000000014,0.0013527339615763373
n_ptr,0.0004781250000000026,0.0004527323084136875
n_other_chars,0.00021875000000000315,0.000971516447187426
n_countries,0.00021562499999999707,0.00016327176661089774
max_consecutive_chars,0.00020312500000000408,0.0011535688457984862
rv,-0.0014093749999999994,0.000943915251036784
