label,length,n_vowel_chars,vowel_ratio,n_vowels,n_constant_chars,n_constants,vowel_constant_convs,n_nums,num_ratio,alpha_numer_convs,n_other_chars,max_consecutive_chars,entropy,n_ip,n_mx,n_ptr,n_ns,ns_similarity,n_countries,mean_TTL,stdev_TTL,n_labels,life_time,active_time,rv,n_css_selectors,html_id_class_num,get_html_id_class_rate,n_js_function,js_comparison_average,js_comparison_max,js_comparison_min
0,6,3,0.5,2,3,2,0.6,0,0,0,0,2,1.9183,2,5,3,4,0.933333,1,191.667,135.913,164,11322,8029,62.4741,0,12,12.766,0,0,0,0
0,7,2,0.285714,2,5,5,0.666667,0,0,0,0,1,2.80735,6,5,6,4,0.667255,1,48,16.9706,286,9495,8733,38.7836,0,44,53.6585,0,0,0,0
0,7,4,0.571429,3,3,3,0.833333,0,0,0,0,1,2.52164,2,1,4,4,0.933333,1,281.667,25.9272,411,6574,6177,62.647,0,59,84.2857,22837,2.11337,10.7364,0.270281
0,8,4,0.5,3,4,4,0.857143,0,0,0,0,2,2.75,1,1,1,4,0.944444,1,200,141.421,208,12418,8969,74.9749,0,38,42.2222,0,0,0,0
0,9,3,0.333333,2,6,6,0.75,0,0,0,0,1,2.9477,5,1,0,4,0.838889,3,555.667,535.834,692,11324,10907,94.9728,0,134,55.144,2612,2.52564,2.52564,2.52564
0,7,2,0.285714,2,5,3,0.666667,0,0,0,0,2,2.12809,3,7,0,10,0.620292,1,1279,433.71,120,8401,8031,53.9895,0,7,50,40210,3.70187,4.94835,0.931502
0,9,3,0.333333,2,6,6,0.625,0,0,0,0,1,2.9477,2,2,2,4,0.947368,2,104.667,76.6565,136,9861,6366,91.3076,0,2,66.6667,0,0,0,0
0,8,3,0.375,2,5,4,0.857143,0,0,0,0,1,2.5,1,4,0,8,0.772556,1,195.333,76.5608,786,7305,6513,54.6792,0,153,58.1749,0,0,0,0
0,5,2,0.4,2,3,2,0.5,0,0,0,0,2,1.92193,1,10,43,4,0.933333,1,420.333,143.307,697,12785,12647,30.6229,6542,53,26.5,8831,2.66768,5.7798,0.303432
0,5,3,0.6,3,2,2,0.75,0,0,0,0,1,2.32193,2,6,0,5,0.928571,1,245.667,179.322,2,9862,7729,18.5204,0,0,0,0,0,0,0
0,7,2,0.285714,2,5,5,0.666667,0,0,0,0,1,2.80735,3,1,0,8,0.652667,0,164,121.029,0,9495,8733,38.7836,0,0,0,0,0,0,0
0,9,5,0.555556,3,4,4,0.875,0,0,0,0,1,2.6416,1,2,1,3,0.944444,1,382.667,271.418,976,8035,7215,68.8185,0,54,48.6486,119,0.169867,0.422477,-0.0827429
0,5,1,0.2,1,4,3,0.5,0,0,0,0,2,1.92193,2,1,0,4,0.933333,1,200,141.421,19,9495,8720,26.4006,54,5,100,759,2.4731,6.45166,0.327232
0,2,0,0,0,2,1,0,0,0,0,0,2,0,4,3,0,4,0.909091,2,316,151.851,1234,12867,9607,0,0,0,0,0,0,0,0
0,16,7,0.4375,3,9,6,0.8,0,0,0,0,2,2.95282,2,0,3,4,0.933333,1,200,141.421,0,4018,3620,121.045,0,0,0,0,0,0,0
0,9,2,0.222222,2,7,5,0.5,0,0,0,0,2,2.72548,1,1,1,4,0.944444,1,129.667,97.4691,476,6940,6178,85.6798,0,71,80.6818,32,0.00017376,0.00017376,0.00017376
0,6,3,0.5,2,3,3,1,0,0,0,0,1,2.25163,3,1,1,6,0.666667,1,20.6667,15.6915,1699,10956,8953,47.2073,0,183,42.1659,159,1.93062,3.34227,0.518969
0,4,2,0.5,2,2,2,1,0,0,0,0,1,2,1,1,1,8,0.611327,1,2286,1621.08,442,10226,9857,22.2024,36,38,92.6829,997,0.272114,0.835265,-0.243882
0,5,3,0.6,2,2,2,0.75,0,0,0,0,2,1.92193,6,3,6,5,0.928571,1,1254.67,63.089,1293,10228,9750,24.8808,0,215,35.0734,5189,0.516941,4.19228,-0.469465
0,6,4,0.666667,2,2,2,0.6,0,0,0,0,1,1.9183,2,1,0,4,0.933333,1,200,141.421,83,7305,6758,27.9245,30,7,77.7778,767,0.357682,1.02558,-0.311767
0,5,3,0.6,2,2,2,0.75,0,0,0,0,1,1.92193,2,2,3,4,0.933333,1,200,141.421,411,0,0,29.8838,1410,59,84.2857,22837,1.00753,2.87226,-0.0705905
0,9,3,0.333333,2,6,5,0.75,0,0,0,0,1,2.72548,4,5,0,8,0.944444,1,134.667,105.595,0,4748,4030,123.059,0,0,0,0,0,0,0
0,4,2,0.5,2,2,2,1,0,0,0,0,1,2,1,3,0,6,0.928571,1,280.667,246.955,1895,8765,8464,6.87447,24,127,57.7273,5280,1.45295,13.0294,-0.318322
0,5,3,0.6,3,2,2,1,0,0,0,0,1,2.32193,4,2,47,10,0.572081,3,6.66667,9.42809,709,12964,12570,24.5256,5711,68,40.4762,7693,2.49119,6.10751,0.305527
0,5,3,0.6,3,2,2,0.75,0,0,0,0,1,2.32193,4,5,0,4,0.665858,1,88.3333,83.8424,844,6574,6177,14.8637,0,137,81.5476,0,0,0,0
0,13,5,0.384615,5,8,6,0.75,0,0,0,0,1,3.39275,0,0,0,4,0,0,0,0,0,9130,8634,75.5361,0,0,0,0,0,0,0
0,6,3,0.5,3,3,2,0.8,0,0,0,0,2,2.25163,1,0,0,8,0.582558,1,102.667,109.256,577,8401,8004,50.9451,0,187,65.8451,1992,1.43881,2.42946,0.342876
0,5,2,0.4,2,3,2,0.75,0,0,0,0,1,1.92193,1,14,0,2,1,1,92,38.1925,163,6315,4811,14.6116,49,29,51.7857,14622,3.3279,7.03732,0.666662
0,15,6,0.4,3,9,8,0.785714,0,0,0,0,1,3.32323,0,1,0,8,0,0,0,0,0,7670,6909,206.982,0,0,0,0,0,0,0
0,4,1,0.25,1,3,3,0.666667,0,0,0,0,1,2,2,1,1,8,0.568185,1,1187.67,813.698,204,9863,9466,18.2947,0,93,67.3913,76,0.396122,0.953982,-0.00208978
0,9,4,0.444444,2,5,5,0.875,0,0,0,0,1,2.6416,3,1,3,4,0.921569,1,36,34.215,2210,6725,5010,60.3965,2546,179,39.2544,6352,3.10659,5.50369,-0.0226367
0,3,2,0.666667,1,1,1,0.5,0,0,0,0,2,0.918296,2,0,2,4,0.933333,1,294.667,7.54247,255,0,0,7.30986,0,0,0,1836,0.995376,2.29146,0.338619
0,6,2,0.333333,2,4,4,0.8,0,0,0,0,1,2.58496,3,5,3,8,0.539039,1,44.6667,21.6846,1508,5479,4717,30.4393,0,179,30.4422,7590,0.704725,4.81856,-0.441332
0,9,2,0.222222,2,7,5,0.5,0,0,0,0,2,2.72548,2,2,0,4,0.944444,1,63.3333,71.9691,1586,8035,7273,85.6798,0,98,25.8575,74,0.0729608,0.533395,-0.387474
0,3,0,0,0,0,0,0,3,1,0,0,0,1.58496,2,3,0,4,0.941176,1,164,103.846,1315,7305,7305,5.67243,79,100,75.7576,1210,0.415365,3.96775,-0.40115
0,5,3,0.6,3,2,2,0.75,0,0,0,0,1,2.32193,2,1,0,6,0.887113,1,40,28.2843,143,9861,6599,13.7757,0,16,45.7143,268,0.346272,0.346272,0.346272
0,6,2,0.333333,2,4,3,0.8,0,0,0,0,2,2.25163,4,5,0,4,0.666491,1,125,20.8327,1088,6209,5447,34.6389,0,35,10.355,19012,1.73052,5.12517,-0.43392
0,3,1,0.333333,1,2,2,1,0,0,0,0,1,1.58496,2,5,1,8,0.578028,1,146.667,57.5345,664,5113,4573,6.80305,0,216,82.1293,6488,2.13956,4.56107,-0.103242
0,4,2,0.5,1,2,2,0.666667,0,0,0,0,2,1.5,2,2,2,4,0.690115,1,56,5.65685,997,7304,6608,14.005,0,216,72.2408,12169,1.63779,5.02178,-0.101863
0,8,2,0.25,1,6,6,0.571429,0,0,0,0,1,2.75,2,0,2,4,0.933333,1,231.333,97.1093,290,8035,7637,92.6735,0,78,79.5918,108,0.523595,0.523595,0.523595
0,2,0,0,0,2,2,0,0,0,0,0,1,1,4,2,0,8,0.82956,1,80,56.5685,48,11483,8764,0,284,1,33.3333,2465,0.940757,5.30983,-0.278539
0,7,3,0.428571,3,4,3,0.833333,0,0,0,0,2,2.52164,3,4,3,4,0.831439,1,750.667,662.732,0,9130,8368,42.4248,0,0,0,0,0,0,0
0,10,5,0.5,4,5,4,0.777778,0,0,0,0,1,2.92193,1,2,0,10,0.572081,1,14298.7,5169.18,0,10593,10198,73.4803,0,0,0,0,0,0,0
0,3,0,0,0,3,3,0,0,0,0,0,1,1.58496,1,1,0,6,0.563638,1,7887.33,5896.43,1925,10068,9393,3.45943,0,657,85.4356,568,1.2494,1.2494,1.2494
0,8,2,0.25,1,6,5,0.571429,0,0,0,0,2,2.5,3,2,3,4,0.944444,3,37.3333,16.1107,551,8400,4792,42.7661,0,87,39.9083,0,0,0,0
0,11,4,0.363636,4,7,5,0.6,0,0,0,0,1,3.0958,2,5,3,4,0.933333,1,200,141.421,933,9863,9466,85.5371,1396,182,65.942,2145,0.76729,2.43804,-0.217306
0,3,0,0,0,0,0,0,3,1,0,0,0,1.58496,2,4,0,7,0.668978,1,400,282.843,0,10591,7802,2.32193,0,0,0,0,0,0,0
0,4,2,0.5,2,2,2,1,0,0,0,0,1,2,3,3,0,4,0.9375,1,50,14.1421,4344,9145,9145,18.6555,1082,396,69.9647,3656,1.58819,11.557,-0.434305
0,6,1,0.166667,1,5,5,0.4,0,0,0,0,1,2.58496,2,5,0,4,0.933333,1,1783.33,1327.22,388,6209,4941,16.1972,0,24,25.5319,6920,3.44734,6.13498,-0.131508
0,5,3,0.6,2,2,2,0.75,0,0,0,0,1,1.92193,2,1,0,2,1,2,221.333,111.251,154,7670,7310,13.1529,0,87,73.7288,1593,1.01975,1.86165,-0.160789
0,5,1,0.2,1,4,4,0.25,0,0,0,0,1,2.32193,5,1,0,4,0.838889,3,1987,1409.9,626,6940,6542,13.3401,0,105,44.3038,6037,2.15323,7.61022,-0.0736106
0,17,7,0.411765,3,10,7,0.625,0,0,0,0,2,3.17512,0,0,0,4,0,0,0,0,0,5113,4715,187.598,0,0,0,0,0,0,0
0,2,0,0,0,2,2,0,0,0,0,0,1,1,6,1,5,4,0.941176,1,126.667,111.825,296,9130,8759,0,0,0,0,0,0,0,0
0,7,2,0.285714,2,5,5,0.666667,0,0,0,0,1,2.80735,4,10,0,7,0.567563,1,34.6667,28.5229,1545,10593,9684,55.3256,70,70,28.1124,12842,1.63564,6.37195,-0.424826
0,6,4,0.666667,4,2,2,0.8,0,0,0,0,1,2.58496,2,2,0,10,0.684183,1,230,49.6655,93,0,0,45.0364,0,2,13.3333,279,0.868384,1.17367,0.563097
0,6,1,0.166667,1,5,5,0.4,0,0,0,0,1,2.58496,2,5,2,4,0.666651,1,40,28.2843,681,6940,5604,34.3341,0,61,23.2824,1256,2.05071,3.59952,0.501908
0,9,3,0.333333,3,3,2,0.5,3,0.333333,0.125,0,2,2.9477,2,0,0,8,0.588907,1,72.6667,37.2499,793,6209,5811,51.7518,0,189,52.5,177,7.7042,7.7042,7.7042
0,8,3,0.375,1,5,4,0.857143,0,0,0,0,1,2.15564,4,2,0,3,0.947368,1,23.3333,26.2467,290,6939,6176,33.2418,31,73,66.9725,315,3.66042,12.7427,0.385024
0,3,1,0.333333,1,2,2,1,0,0,0,0,1,1.58496,1,8,1,3,0.943237,1,5137,1722.79,789,0,0,2.32193,0,103,66.0256,2655,3.52329,8.48594,-0.437462
0,5,1,0.2,1,4,4,0.5,0,0,0,0,1,2.32193,3,1,3,2,1,1,7.33333,1.24722,198,730,126,21.1124,0,26,81.25,0,9.84043,9.84227,9.83859
0,16,6,0.375,4,9,7,0.533333,0,0,0,1,2,3.5,3,0,4,4,0.933333,1,171.667,126.249,790,6209,5811,159.594,0,159,65.7025,1998,1.09345,2.44553,-0.36971
0,7,2,0.285714,2,5,5,0.666667,0,0,0,0,1,2.80735,1,7,1,8,0.579247,1,225,53.3854,152,8766,5580,38.9959,0,9,16.3636,9907,1.94375,7.528,-0.448943
0,10,4,0.4,2,6,5,0.444444,0,0,0,0,1,2.72193,8,5,8,4,0.681835,1,52,11.3137,127,6161,5765,77.7722,0,16,72.7273,20678,3.68229,8.76315,-0.10092
0,2,1,0.5,1,1,1,1,0,0,0,0,1,1,2,0,1,4,0.941176,2,40,28.2843,117,8766,8198,0,0,75,84.2697,4948,1.33285,6.04293,-0.312856
0,7,2,0.285714,1,5,5,0.666667,0,0,0,0,1,2.52164,1,5,0,4,0.674082,1,15,20.5102,1397,10226,9464,38.9422,0,16,5.46075,503,4.64269,4.64279,4.64258
0,6,2,0.333333,1,4,4,0.6,0,0,0,0,1,2.25163,0,2,0,10,0,0,0,0,0,8765,7272,17.8214,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,0,1,0,4,0,0,10,0.618124,1,1026,230.408,27,4382,4017,0,0,5,100,0,0,0,0
0,6,3,0.5,3,3,2,0.8,0,0,0,0,1,2.25163,2,5,0,2,1,0,148.333,122.497,820,8765,8365,33.9842,0,13,14.2857,4448,6.26455,6.26542,6.26368
0,6,3,0.5,2,3,3,0.8,0,0,0,0,1,2.25163,1,2,0,4,0.665801,1,820.333,743.434,1251,12420,9549,38.6219,1549,101,82.7869,745,3.63198,9.55087,0.63152
0,6,2,0.333333,2,4,4,0.8,0,0,0,0,1,2.58496,4,2,0,4,0.673898,1,200,141.421,1727,10591,8955,35.6342,0,183,60.396,2995,5.60437,8.60636,1.71877
0,10,6,0.6,3,4,4,0.666667,0,0,0,0,1,2.64644,0,2,0,13,0,0,0,0,0,8035,7306,24.7034,0,0,0,0,0,0,0
0,5,2,0.4,1,3,3,0.75,0,0,0,0,1,1.92193,2,5,0,2,1,0,214.667,120.68,3193,8035,5567,19.7966,0,27,9.47368,3331,2.48219,6.04932,0.225217
0,6,2,0.333333,1,4,3,0.8,0,0,0,0,1,1.9183,2,2,1,4,0.584085,1,57.3333,67.4356,330,8401,8004,26.3235,0,79,73.1481,6134,2.08291,5.6537,0.083405
0,3,0,0,0,3,2,0,0,0,0,0,2,0.918296,4,2,0,4,0.69056,1,36.3333,24.2533,761,12052,8966,3.05889,0,39,29.5455,4541,4.08608,12.2511,-0.202303
0,2,0,0,0,1,1,0,1,0.5,1,0,1,1,1,3,1,3,0.909091,1,2254.33,1604.01,407,12783,10019,0,0,80,85.1064,1,1.15377,1.15377,1.15377
0,9,2,0.222222,2,7,6,0.5,0,0,0,0,1,2.9477,1,0,1,8,0.642783,1,2971.67,888.598,0,6575,5478,61.6395,0,0,0,0,0,0,0
0,6,3,0.5,2,3,2,0.6,0,0,0,0,2,1.9183,2,1,2,4,0.933333,1,253,66.468,168,7799,7799,62.4741,0,13,13.4021,0,0,0,0
0,10,4,0.4,4,6,5,0.555556,0,0,0,0,1,3.12193,2,3,0,5,0.947368,0,117.667,130.732,850,5478,3017,94.5644,0,86,43.4343,0,0,0,0
0,7,3,0.428571,3,4,4,0.666667,0,0,0,0,1,2.80735,1,1,1,6,0.524034,1,136.333,123.99,27,10957,9092,77.3396,0,1,100,2087,6.08125,12.1818,-0.019291
0,4,2,0.5,2,2,2,1,0,0,0,0,1,2,6,2,4,8,0.58326,1,129.333,102.614,992,9861,9464,15.4918,0,18,8.61244,1950,0.70979,2.09737,-0.225193
0,11,5,0.454545,4,6,6,0.6,0,0,0,0,1,3.27761,4,5,0,8,0.584444,1,2569.67,1457.11,3315,11322,9778,91.5032,0,251,37.0753,3725,1.42031,4.01585,-0.0785591
