,feature_importance
n_ns,0.5014789402484894
stdev_TTL,0.07913009524345398
mean_TTL,0.056540497392416
life_time,0.043814342468976974
length,0.03555212393403053
ns_similarity,0.033563755080103876
n_mx,0.03249518387019634
n_js_function,0.022784952260553836
n_labels,0.019439703784883022
n_ip,0.018308026343584062
n_ptr,0.017630257084965704
active_time,0.013460649363696574
n_constant_chars,0.013457331620156766
n_countries,0.011258788499981165
n_other_chars,0.010520339012145996
entropy,0.008334244322031736
alpha_numer_convs,0.008304048702120781
n_nums,0.00772767961025238
n_constants,0.0076765591278672215
js_comparison_max,0.006314932741224766
rv,0.0060911736451089386
n_css_selectors,0.005824053473770618
js_comparison_average,0.005029396805912256
js_comparison_min,0.0047872499097138645
n_vowel_chars,0.00466893631964922
html_id_class_num,0.004588847979903221
n_vowels,0.004565654369071126
get_html_id_class_rate,0.004466970916837454
vowel_ratio,0.0036457663867622615
vowel_constant_convs,0.0035300278570502995
max_consecutive_chars,0.0032936370465904475
num_ratio,0.0017158769303932786
